#simple model for fingerclip
#one input one output
#1-D table model
#
#V	#I
-1.1232	13.003
-1.1228	12.212
-1.1224	11.431
-1.122	10.657
-1.121	9.896
-1.1212	9.144
-1.1208	8.403
-1.1192	7.678
-1.1188	6.966
-1.1196	6.271
-1.1156	5.595
-1.1128	4.936
-1.1112	4.297
-1.1084	3.682
-1.1056	3.095
-1.1016	2.538
-1.0976	2.015
-1.0912	1.535
-1.0848	1.104
-1.0748	0.728
-1.0624	0.423
-1.044	0.197
-1.0124	0.064
-0.9664	0.01
-0.891972	0.00055
-0.8	2.9E-05
-0.7	2.9E-05
-0.6	2.9E-05
-0.5	2.9E-05
-0.4	2.9E-05
-0.3	2.9E-05
-0.2	2.9E-05
-0.1	2.9E-05
0	2.9E-05
0.1	2.9E-05
0.2	2.9E-05
0.3	2.9E-05
0.4	2.9E-05
0.5	2.9E-05
0.6	2.9E-05
0.7	2.9E-05
0.8	2.9E-05
0.9	2.9E-05
1	2.9E-05
1.1	2.9E-05
1.2	2.9E-05
1.3	2.9E-05
1.39328	0.00065
1.470852	0.014
1.519804	0.102
1.5476	0.313
1.5636	0.628
1.5748	1.012
1.5824	1.447
1.5888	1.918
1.5928	2.415
1.5956	2.954
1.5996	3.494
1.6012	4.05
1.6028	4.617
1.6044	5.194
1.6048	5.792
1.6064	6.18
1.6068	6.991
1.6072	7.602
1.6076	8.217
1.608	8.838
