#simple model for fingerclip_version 2
#one input, one output
#1-d table model
#
#I_in	in A  #I_out in uA
-0.006319	2.908
-0.00601	2.749
-0.005724	2.593
-0.005432	2.437
-0.005141	2.2815
-0.004847	2.1275
-0.004549	1.9735
-0.004257	1.8225
-0.003965	1.672
-0.003677	1.526
-0.003386	1.3765
-0.003091	1.233
-0.002806	1.0875
-0.002518	0.9475
-0.002232	0.815
-0.001947	0.6785
-0.001665	0.5495
-0.001386	0.4265
-0.001112	0.3135
-0.000844	0.21
-0.000588	0.121
-0.000353	0.0525
-0.00016	0.013
-0.000046	0.0012
-0.000008	0.000045
-0.000001	0.000003
-0.0000001	0.000003
-0.00000002	0.000003
-0.000000003	0.000003
-0.000000003	0.000003
-0.000000003	0.000003
-0.000000003	0.000003
-0.000000003	0.000003
0.000000003	0.000003
0.000000003	0.0000018
0.000000003	0.0000018
0.000000003	0.0000018
0.000000003	0.0000018
0.000000003	0.0000018
0.000000003	0.0000018
0.000000003	0.0000018
0.000000004	0.0000018
0.00000001	0.000003
0.00000002	0.000003
0.00000005	0.000006
0.0000002	0.00003
0.000001	0.00003
0.000006	0.00003
0.000036	0.00093
0.000144	0.0111
0.000342	0.0411
0.000583	0.08541
0.000847	0.13731
0.001112	0.1938
0.001388	0.2538
0.001667	0.3159
0.001945	0.3795
0.002233	0.4452
0.002519	0.5115
0.002806	0.5784
0.003094	0.6459
0.003383	0.7146
0.003672	0.7836
0.003963	0.8526
0.004251	0.9
0.004543	1.0002
0.004832	1.0692
0.005122	1.1481
0.005415	1.2204
0.005708	1.2933
0.006		1.36542
0.006295	1.43805
0.006587	1.5105
0.006882	1.58307
0.007176	1.65621
0.00747	1.7289
0.00776	1.8021
0.008059	1.8753
0.008354	1.9482
0.008649	2.0208
0.008925	2.094
0.009242	2.1387
0.009536	2.21064
0.009832	2.2824
